COD_APO;COD_ENDOSSO;COD_ITEM;DATA_COMP;COD_END;COB_FUNDO;COD_MOD;ID_BEM;COBERTURA;CULTURA;MUNIC;UF;INICIO_VIG;FIM_VIG;TIPO_FRANQ;VAL_FRANQ;AREA_SEG;IMP_SEG;PREMIO;PREMIO_SUB;ORIGEM_SUB;CORRETAGEM;PERC_CARR;PERC_DESC
289707920;509935;1782963;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201201.0;20201231.0;9.0;0.0;0.0;70000.0;37.62;0.0;00;11.29;0.0;0.0
289707920;509935;1783100;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201201.0;20201231.0;9.0;0.0;0.0;133261.0;71.61;0.0;00;21.48;0.0;0.0
289707920;509917;1466474;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20200901.0;20200930.0;9.0;0.0;0.0;20217.0;10.51;0.0;00;3.15;0.0;0.0
289707920;509917;1466479;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20200901.0;20200930.0;9.0;0.0;0.0;20079.0;10.44;0.0;00;3.13;0.0;0.0
289707920;509917;1466490;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20200901.0;20200930.0;9.0;0.0;0.0;47485.0;24.7;0.0;00;7.41;0.0;0.0
296678543;8639680;13861504;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;25803.0;SP;20200417.0;20210417.0;9.0;0.0;0.0;100000.0;234.1;0.0;00;58.53;25.0;0.0
296678543;8639680;13861504;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;25803.0;SP;20200417.0;20210417.0;4.0;0.0;0.0;100000.0;234.1;0.0;00;58.53;25.0;0.0
296678543;8639680;13861504;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;25803.0;SP;20200417.0;20210417.0;9.0;0.0;0.0;600.0;234.1;0.0;00;58.53;25.0;0.0
296678543;8639680;13861504;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;25803.0;SP;20200417.0;20210417.0;4.0;0.0;0.0;600.0;234.1;0.0;00;58.53;25.0;0.0
296678543;8639680;13861511;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;23829.0;SP;20200417.0;20210417.0;9.0;0.0;0.0;57334.4;224.18;0.0;00;56.04;25.0;0.0
296678543;8639680;13861511;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;23829.0;SP;20200417.0;20210417.0;4.0;0.0;0.0;57334.4;224.18;0.0;00;56.04;25.0;0.0
296678543;8639680;13861511;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;23829.0;SP;20200417.0;20210417.0;9.0;0.0;0.0;600.0;224.17;0.0;00;56.04;25.0;0.0
296678543;8639680;13861511;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;23829.0;SP;20200417.0;20210417.0;4.0;0.0;0.0;600.0;224.17;0.0;00;56.04;25.0;0.0
296678543;8639680;13877360;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;17017.0;PE;20200502.0;20210502.0;9.0;0.0;0.0;81826.9;191.56;0.0;00;47.89;25.0;0.0
296678543;8639680;13877360;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;17017.0;PE;20200502.0;20210502.0;4.0;0.0;0.0;81826.9;191.56;0.0;00;47.89;25.0;0.0
296678543;8639680;13877360;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;17017.0;PE;20200502.0;20210502.0;9.0;0.0;0.0;600.0;191.55;0.0;00;47.88;25.0;0.0
296678543;8639680;13877360;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;17017.0;PE;20200502.0;20210502.0;4.0;0.0;0.0;600.0;191.55;0.0;00;47.88;25.0;0.0
289707920;509923;1576254;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201001.0;20201031.0;9.0;0.0;0.0;36001.0;19.35;0.0;00;5.8;0.0;0.0
296678543;8639680;13755465;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;39284.0;MG;20200103.0;20210102.0;9.0;0.0;0.0;55840.4;2050.67;0.0;00;512.66;25.0;0.0
296678543;8639680;13889331;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;19871.0;PR;20200514.0;20210514.0;9.0;0.0;0.0;20885.32;101.29;0.0;00;25.32;25.0;0.0
296678543;8639680;13889331;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;19871.0;PR;20200514.0;20210514.0;4.0;0.0;0.0;20885.32;101.29;0.0;00;25.32;25.0;0.0
296678543;8639680;13889331;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;19871.0;PR;20200514.0;20210514.0;9.0;0.0;0.0;600.0;101.29;0.0;00;25.32;25.0;0.0
