COD_APO;COD_ENDOSSO;COD_ITEM;DATA_COMP;COB_FUNDO;COD_MOD;ID_BEM;COBERTURA;CULTURA;MUNIC;UF;INDENIZ;DESP_SIN;EV_GER;VAL_FRANQ;D_AVISO;D_LIQ;D_OCORR_IN;D_OCORR_FI
292898091;4631525;7466785;2021;S;10;99;999;99999999.0;18573.0;RS;80789.6;0.0;8;10.0;20210303;20210528;20210303;20210303
292898113;4631551;7466818;2021;S;10;99;999;99999999.0;51884.0;RS;10081.3;0.0;99;10.0;20201215;20210304;20201202;20201202
292898168;4631616;7466923;2021;S;10;99;10;99999999.0;30623.0;MG;162.5;0.0;99;10.0;20201126;20210108;20201125;20201125
292898209;4631662;7466979;2021;S;10;99;10;99999999.0;30623.0;MG;62400.0;0.0;99;10.0;20201218;00000000;20201217;20201217
292898209;4631662;7466979;2021;S;10;99;10;99999999.0;30623.0;MG;3120.0;0.0;99;10.0;20201218;20210419;20201217;20201217
292898245;4631701;7467040;2021;S;10;99;10;99999999.0;25511.0;SC;5248.75;0.0;99;10.0;20210125;20210420;20210124;20210124
292898289;4631749;7467100;2021;S;10;99;999;99999999.0;30472.0;PR;9234.57;0.0;8;10.0;20210510;20210921;20210411;20210411
292898351;4631818;7467202;2021;S;10;99;999;99999999.0;29191.0;PR;1065.38;0.0;8;10.0;20210622;20210921;20210424;20210424
292898362;4631835;7467216;2021;S;10;99;999;99999999.0;30472.0;PR;803.63;0.0;8;10.0;20210513;00000000;20210331;20210331
292898369;4631844;7467225;2021;S;10;99;999;99999999.0;19871.0;PR;13342.9;0.0;8;10.0;20210623;20210924;20210320;20210320
292898387;4631868;7467252;2021;S;10;99;999;99999999.0;29115.0;PR;913.5;0.0;8;10.0;20210507;00000000;20210305;20210305
292898403;22484426;7467269;2021;S;10;99;999;99999999.0;11240.0;SP;10285.0;0.0;8;10.0;20210512;00000000;20210401;20210401
292898413;4631901;7467282;2021;S;10;99;999;99999999.0;45728.0;PR;11180.84;0.0;8;10.0;20210621;20210913;20210318;20210318
292898414;4631902;7467283;2021;S;10;99;20;99999999.0;15026.0;MS;63465.68;0.0;99;10.0;20210723;00000000;20210325;20210325
292898416;4631904;7467285;2021;S;10;99;999;99999999.0;42769.0;PR;30531.97;0.0;8;10.0;20210609;20210909;20210401;20210401
292898417;4631905;7467286;2021;S;10;99;999;99999999.0;42769.0;PR;66333.51;0.0;8;10.0;20210609;20210916;20210401;20210401
292898419;4631907;7467289;2021;S;10;99;999;99999999.0;15026.0;MS;368792.11;0.0;8;10.0;20210505;20210917;20210315;20210315
292898426;4631914;7467298;2021;S;10;99;999;99999999.0;48093.0;PR;12001.86;0.0;8;10.0;20210527;20210914;20210519;20210519
